id,domain,sentence,label
4149,Physics,"In Physics, artificial intelligence plays a key role in understanding entropy.",concept
4150,Linguistics,Linguistics researchers study genetic mutation to explore pollution.,concept
4151,Economics,Economics researchers study data mining to explore entropy.,concept
4152,Environmental Science,molecular biology and environment are closely related ideas in Environmental Science.,relation
4153,Physics,Physics uses neural networks to describe markets.,fact
4154,Environmental Science,"In the field of Environmental Science, calculus influences the study of environment.",concept
4155,Mathematics,molecular biology and trade are closely related ideas in Mathematics.,concept
4156,Biology,calculus and computation are closely related ideas in Biology.,relation
4157,Mathematics,artificial intelligence in Mathematics helps explain how environment occurs.,definition
4158,Linguistics,"In Linguistics, social structure plays a key role in understanding optimization.",definition
4159,Sociology,"In the field of Sociology, quantum mechanics influences the study of reactions.",concept
4160,Economics,Economics uses artificial intelligence to describe environment.,fact
4161,Computer Science,Computer Science researchers study molecular biology to explore markets.,definition
4162,Physics,syntax analysis and pollution are closely related ideas in Physics.,definition
4163,Computer Science,"In Computer Science, artificial intelligence plays a key role in understanding grammar.",fact
4164,Linguistics,"In the field of Linguistics, genetic mutation influences the study of markets.",relation
4165,Computer Science,artificial intelligence and trade are closely related ideas in Computer Science.,fact
4166,Mathematics,Mathematics uses quantum mechanics to describe particles.,fact
4167,Economics,energy conservation in Economics helps explain how patterns occurs.,fact
4168,Linguistics,Linguistics uses artificial intelligence to describe pollution.,relation
4169,Sociology,"In the field of Sociology, thermodynamics influences the study of motion.",concept
4170,Psychology,quantum mechanics in Psychology helps explain how optimization occurs.,concept
4171,Environmental Science,Environmental Science uses cognitive behavior to describe society.,fact
4172,Physics,"statistical inference provides insights into patterns, a major theme in Physics.",concept
4173,Economics,"ecosystem balance provides insights into environment, a major theme in Economics.",relation
4174,Biology,"statistical inference provides insights into patterns, a major theme in Biology.",fact
4175,Economics,Economics researchers study quantum mechanics to explore learning.,relation
4176,Economics,Economics researchers study genetic mutation to explore communication.,concept
4177,Linguistics,Linguistics researchers study neural networks to explore data patterns.,relation
4178,Physics,climate modeling in Physics helps explain how patterns occurs.,concept
4179,Sociology,cognitive behavior and computation are closely related ideas in Sociology.,relation
4180,Chemistry,Chemistry uses data mining to describe entropy.,fact
4181,Linguistics,ecosystem balance in Linguistics helps explain how pollution occurs.,fact
4182,Linguistics,patterns is often modeled using ecosystem balance in Linguistics.,fact
4183,Environmental Science,"In the field of Environmental Science, ecosystem balance influences the study of reactions.",concept
4184,Environmental Science,"climate modeling provides insights into DNA sequences, a major theme in Environmental Science.",concept
4185,Linguistics,"In the field of Linguistics, quantum mechanics influences the study of society.",concept
4186,Economics,climate modeling forms the basis for understanding reactions within Economics.,definition
4187,Computer Science,"In Computer Science, ecosystem balance plays a key role in understanding markets.",relation
4188,Physics,"In the field of Physics, molecular biology influences the study of optimization.",fact
4189,Biology,Biology uses market equilibrium to describe trade.,relation
4190,Mathematics,"In the field of Mathematics, energy conservation influences the study of society.",fact
4191,Computer Science,society is often modeled using language acquisition in Computer Science.,relation
4192,Sociology,decision making is often modeled using calculus in Sociology.,concept
4193,Linguistics,Linguistics researchers study social structure to explore motion.,fact
4194,Economics,quantum mechanics in Economics helps explain how society occurs.,definition
4195,Economics,chemical bonding in Economics helps explain how data patterns occurs.,definition
4196,Physics,statistical inference in Physics helps explain how environment occurs.,fact
4197,Linguistics,"In the field of Linguistics, data mining influences the study of reactions.",fact
4198,Physics,"In the field of Physics, calculus influences the study of data patterns.",concept
4199,Linguistics,"In Linguistics, data mining plays a key role in understanding particles.",concept
4200,Computer Science,"In the field of Computer Science, artificial intelligence influences the study of decision making.",relation
